region,country,city,wmoNo,lat,lon,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,hemi,source,period,note
北アメリカ,アメリカ合衆国,ニューヨーク,72503,40.77,-73.9,1.2,2.2,5.9,11.8,17.4,22.7,26,25.2,21.4,15.1,9.3,4.3,82.7,74.1,102.1,97.4,91.3,102.8,107.3,111.9,97.8,97,79.8,104.6,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
北アメリカ,カナダ,トロント,71508,43.67,-79.4,-3.5,-2.6,1.5,7.3,14.1,19.3,22.2,21.8,18,11.1,5.1,-0.1,61.4,55.1,54.1,76.3,65.5,86.5,81.5,67.6,63,80.3,58.1,65.5,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
北アメリカ,メキシコ,メキシコシティ,76680,19.4,-99.18,14.4,16.5,18.1,19.7,19.8,18.5,17.5,17.6,17.2,16.6,15.4,14.9,6.8,2.7,13,43.1,80,185,234.9,191.9,151.7,72.7,12.2,9.2,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
南アメリカ,ブラジル,サンパウロ,83781,-23.5,-46.62,23.2,23.7,22.8,21.4,18.5,17.7,17.3,18.3,19.3,20.7,21.4,22.9,286.6,242.4,196.3,90.3,65.5,63.3,53,36.3,79.5,118.4,143.6,233.1,S,気象庁 世界の地点別平年値(1991-2020),1991-2020,
南アメリカ,アルゼンチン,ブエノスアイレス,87585,-34.58,-58.48,24.9,23.8,22.1,18.2,15,12.2,11.2,13.3,14.8,17.8,20.8,23.4,153.1,115.3,125.1,139.3,101.5,67.2,67.9,72.8,65.9,115.7,117.8,114.5,S,気象庁 世界の地点別平年値(1991-2020),1991-2020,
南アメリカ,チリ,サンティアゴ,85574,-33.39,-70.79,21.1,20.2,18.2,14.3,11,8.5,7.9,9.4,11.6,14.5,17.5,19.7,0.6,0.8,2.5,9.8,36.4,65.7,39,29.8,14.2,7,3.7,2,S,気象庁 世界の地点別平年値(1991-2020),1991-2020,
南アメリカ,ペルー,リマ,84628,-12.02,-77.12,22.8,23.6,23.1,21.1,19.2,17.9,17.3,16.5,16.7,17.6,19,20.8,0.1,0.5,0.3,0.1,0.1,0,0.1,0.1,0.5,0,0.1,0.2,S,気象庁 世界の地点別平年値(1991-2020),1991-2020,
ヨーロッパ,イギリス,ロンドン,3772,51.48,-0.45,5.7,6,8,10.5,13.7,16.8,19,18.7,15.9,12.3,8.5,6.1,59.7,46.6,41.7,42.6,46.9,49.7,47.2,57.7,46.1,66.3,69.3,59.6,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,ヒースロー空港（ロンドン中心部に観測所が無いための代替）
ヨーロッパ,フランス,パリ,7149,48.72,2.38,4.6,5,8.2,11.2,14.9,18.2,20.4,20.1,16.3,12.3,7.8,5.1,44.8,43.4,44,41.4,62.2,58.4,53.1,62.3,42.2,54.2,54.6,62.2,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,オルリー空港
ヨーロッパ,イタリア,トリノ,16061,45.03,7.73,3,3.9,7.8,10.8,15,19,21.7,21.1,17.1,12.2,7.2,3.8,23.7,29.9,45.6,92.7,109.5,109.6,76.7,71.5,62.3,67.5,107.2,34.1,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,気象庁データにローマの観測地点が無いための代替
ヨーロッパ,ドイツ,ベルリン,10384,52.47,13.4,1.2,2.1,5.2,10.2,14.6,18,20.1,19.7,15.3,10.2,5.4,2.3,49.3,36.8,41.3,30.2,50,57.4,71.4,58.1,46.1,44.7,42.6,42.3,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
ヨーロッパ,スペイン,マドリード,8222,40.41,-3.68,6.5,8,11.3,13.6,17.5,22.7,26.1,25.7,21,15.4,9.9,7,31.5,33.5,33,47.2,49,21.5,10.5,10.1,23,61.4,54.3,47.8,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
ヨーロッパ,ポルトガル,リスボン,8535,38.72,-9.15,11.6,12.3,14.5,15.8,18.3,20.9,22.6,23.2,21.5,18.6,14.7,12.4,95.8,76.3,73.7,71.7,51.7,16.3,2.3,7.6,35.5,100.1,132,99.6,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
ヨーロッパ,ロシア,モスクワ,27612,55.83,37.62,-6.2,-5.9,-0.7,6.9,13.6,17.3,19.7,17.6,11.9,5.8,-0.5,-4.4,53.2,44,39,36.6,61.2,77.4,83.8,78.3,66.1,70.1,51.9,51.4,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
ヨーロッパ,ウクライナ,キーウ,33345,50.39,30.54,-3.2,-2.3,2.4,10,15.8,19.5,21.3,20.5,14.9,8.6,2.6,-1.7,37.4,38.1,39.2,41.7,63.4,73.7,69.1,53,57.2,45.1,46.2,47.6,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
ヨーロッパ,ノルウェー,オスロ,1384,60.21,11.08,-4.4,-4.2,-0.5,4.6,10.1,14.2,16.5,15.1,10.6,5,0.4,-3.5,63.5,47.2,45.1,50,65.9,77.8,82.2,101.2,80.1,95.6,88.7,67,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
ヨーロッパ,フィンランド,ヘルシンキ,2974,60.32,24.97,-4.3,-4.8,-1.4,4.5,10.4,15.2,18.2,16.5,11.6,5.7,1.3,-1.9,54.9,36.3,32.7,34.7,38.9,62.7,59.3,76,60.3,83.7,72.8,61.1,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
ヨーロッパ,アイスランド,レイキャビク,4030,64.13,-21.9,0.7,0.6,1.2,3.7,6.7,9.9,11.7,11.1,8.5,4.9,2.2,0.8,87,90.7,80.7,59.1,52.1,43.4,50.6,64.7,87,79.8,86.6,96.8,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
ヨーロッパ,トルコ,アンカラ,17130,39.95,32.88,0.9,3,6.9,11.5,16.7,20.9,24.4,24.2,19.6,13.9,7.2,2.8,39.2,34.9,49.3,42.1,51.7,41.6,15.9,15,16.3,32.9,32.6,40.9,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
アフリカ,エジプト,カイロ,62378,29.86,31.35,13.9,15.2,17.9,21.8,25.3,27.9,29.2,29,27.5,24.6,20,15.7,6,3.2,8.9,0.9,0,0,0,0,0.2,1.2,1.2,8.1,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,ヘルワン（カイロ首都圏、気象庁の代表観測地点）
アフリカ,モロッコ,カサブランカ,60155,33.57,-7.67,13,14,15.6,17.1,19.3,21.4,23,23.5,22.4,20.3,16.7,14.5,65.9,44,41.1,33.2,16.3,3,0.6,0.1,12,46.3,71.2,69.8,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
アフリカ,チュニジア,チュニス,60715,36.83,10.23,12.3,12.5,14.6,17.2,20.9,25,28.1,28.7,25.7,22,17.1,13.5,59,56.3,47.5,37.5,23,11.8,4.1,13.8,46,56.6,53.6,63,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
アフリカ,エチオピア,アディスアベバ,63450,9.03,38.75,16.4,17.4,18.4,18.6,18.8,17.4,16.1,16.1,16.5,16.5,16,15.4,15.2,24.7,55.4,71.3,110.6,136,240.4,267.3,151.9,49.4,17.7,7,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
アフリカ,ケニア,ナイロビ,63740,-1.33,36.92,20.4,21.3,21.9,20.8,20,18.6,17.7,18.4,20.1,20.8,19.9,20.5,91.4,49.2,88.6,122.6,96.8,28.8,21.7,16.6,18.3,51.2,126.8,100.6,S,気象庁 世界の地点別平年値(1991-2020),1991-2020,
アジア,サウジアラビア,リヤド,40438,24.7,46.73,14.6,17.6,21.6,27.3,33.1,35.9,36.9,37,33.7,28.4,21.4,16.5,15.1,8.1,24.2,36.1,6.5,0,0.1,0.4,0,0.9,15.1,20.8,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
アジア,中国,ペキン,54511,39.93,116.28,-2.8,0.6,7.5,15.1,21.3,25.3,27.2,26,21.2,13.8,5.2,-1,2.1,5.6,8.5,21.9,36.5,72.7,170.6,114.1,53.3,29.3,13.7,2.5,N,気象庁 世界の地点別平年値(1991-2020),1991-2020,
